bike_point_id,name,latitude,longitude,num_bikes,num_empty_docks,num_docks,installed,locked
BikePoints_77,"Russell Square Station, Bloomsbury",51.523418,-0.124121,6,14,26,True,False
BikePoints_78,"Sadlers Sports Centre, Finsbury",51.524868,-0.099489,13,0,17,True,False
BikePoints_79,"Arundel Street, Temple",51.511726,-0.113855,1,11,18,True,False
BikePoints_80,"Webber Street , Southwark",51.500693,-0.102091,33,10,45,True,False
BikePoints_81,"Great Titchfield Street, Fitzrovia",51.520253,-0.141327,4,14,19,True,False
BikePoints_83,"Panton Street, West End",51.509639,-0.13151,9,10,21,True,False
BikePoints_84,"Breams Buildings, Holborn",51.515937,-0.111778,0,24,25,True,False
BikePoints_85,"Tanner Street, Bermondsey",51.500647,-0.0786,3,37,41,True,False
BikePoints_86,"Sancroft Street, Vauxhall",51.489479,-0.115156,15,7,24,True,False
BikePoints_88,"Percy Street, Bloomsbury",51.51863,-0.132676,7,18,29,True,False
BikePoints_89,"Tavistock Place, Bloomsbury",51.52625,-0.123509,1,13,19,True,False
BikePoints_90,"Harrington Square 1, Camden Town",51.533019,-0.139174,19,8,27,True,False
BikePoints_91,"Walnut Tree Walk, Vauxhall",51.493686,-0.111014,11,9,20,True,False
BikePoints_92,"Borough Road, Elephant & Castle",51.498898,-0.10044,39,1,41,True,False
BikePoints_93,"Cloudesley Road, Angel",51.534408,-0.109025,35,0,37,True,False
BikePoints_94,"Bricklayers Arms, Borough",51.495061,-0.085814,14,14,28,True,False
BikePoints_95,"Aldersgate Street, Barbican",51.520841,-0.09734,0,11,15,True,False
BikePoints_96,"Falkirk Street, Hoxton",51.53095,-0.078505,12,11,26,True,False
BikePoints_97,"Gloucester Road (North), Kensington",51.497924,-0.183834,0,16,18,True,False
BikePoints_98,"Hampstead Road, Euston",51.525542,-0.138231,26,20,54,True,False
BikePoints_101,"Queen Street 1, Bank",51.511553,-0.09294,3,19,22,True,False
BikePoints_102,"Jewry Street, Aldgate",51.513406,-0.076793,1,15,17,True,False
BikePoints_103,"Vicarage Gate, Kensington",51.504723,-0.192538,5,13,18,True,False
BikePoints_104,"Crosswall, Tower",51.511594,-0.077121,30,3,34,True,False
BikePoints_105,"Westbourne Grove, Bayswater",51.515529,-0.19024,9,15,26,True,False
BikePoints_106,"Woodstock Street, Mayfair",51.514105,-0.147301,5,15,21,True,False
BikePoints_107,"Finsbury Leisure Centre, St. Luke's",51.526008,-0.096317,16,0,20,True,False
BikePoints_109,"Soho Square , Soho",51.515631,-0.132328,29,22,57,True,False
BikePoints_110,"Wellington Road, St. John's Wood",51.533043,-0.172528,7,9,17,True,False
BikePoints_111,"Park Lane , Hyde Park",51.510017,-0.157275,11,11,28,True,False
