name,latitude,longitude,transport_type
East Finchley Station,51.58669,-0.16471,tube_station
Edgware Bus Station,51.61366,-0.27582,tube_station
Edgware Station,51.61343,-0.27582,tube_station
East Ham Station,51.53929,0.05127,tube_station
East Ham Station,51.53896,0.05139,tube_station
Embankment Station,51.50738,-0.12257,tube_station
Embankment Station,51.50697,-0.12191,tube_station
Elm Park Station,51.54992,0.19922,tube_station
East Putney Station,51.45916,-0.21074,tube_station
Edgware Road Station  / Bakerloo Line,51.52021,-0.17027,tube_station
Edgware Road Station,51.51967,-0.16803,tube_station
Edgware Road Station,51.52047,-0.1665,tube_station
Euston Square Station,51.52581,-0.13575,tube_station
Euston Square Station,51.52533,-0.13557,tube_station
Fulham Broadway Station,51.4801,-0.19541,tube_station
Farringdon Station,51.5201,-0.1047,tube_station
Farringdon Station,51.52112,-0.10522,tube_station
Fairlop Station,51.59557,0.09071,tube_station
Finsbury Park Station,51.56521,-0.10779,tube_station
Finsbury Park Station,51.56376,-0.10678,tube_station
Finsbury Park Station,51.56449,-0.10577,tube_station
Finsbury Park Station,51.56464,-0.10728,tube_station
Finchley Central Station,51.60109,-0.19235,tube_station
Finchley Central,51.60061,-0.19294,tube_station
Finchley Road Station,51.54688,-0.17976,tube_station
Goodge Street Station,51.52067,-0.1345,tube_station
Golders Green Station,51.57253,-0.194,tube_station
Golders Green Station,51.57203,-0.19441,tube_station
Goldhawk Road Station,51.50193,-0.22731,tube_station
Goldhawk Road Station,51.50197,-0.22647,tube_station
Green Park Station,51.50673,-0.14274,tube_station
Green Park Station,51.50647,-0.14314,tube_station
Green Park Station,51.50684,-0.14283,tube_station
Green Park Station,51.50685,-0.14298,tube_station
Green Park Station,51.50652,-0.14291,tube_station
Great Portland Street Station,51.52388,-0.1439,tube_station
Great Portland St Stn  / Euston Rd,51.52374,-0.1437,tube_station
Gants Hill Station,51.57745,0.06561,tube_station
Gants Hill Station,51.57725,0.06554,tube_station
Gants Hill Station,51.57726,0.06597,tube_station
Gants Hill Station,51.57695,0.06633,tube_station
Gants Hill Station,51.57659,0.06684,tube_station
Gants Hill Station,51.57642,0.06746,tube_station
Gants Hill Station,51.57625,0.06715,tube_station
Gants Hill Station,51.57633,0.06664,tube_station
Gants Hill Station,51.5764,0.06572,tube_station
Gants Hill Station,51.57664,0.06553,tube_station
Gloucester Road Station,51.49433,-0.18258,tube_station
Gloucester Road Station,51.4946,-0.18272,tube_station
Holborn Station,51.51736,-0.11999,tube_station
Holborn Station,51.51759,-0.11998,tube_station
High Barnet Station,51.65047,-0.19442,tube_station
High Barnet Station,51.65028,-0.19416,tube_station
Hornchurch Station,51.5541,0.21925,tube_station
Hendon Central Station,51.58298,-0.22694,tube_station
Hillingdon Station,51.55372,-0.44813,tube_station
Hillingdon Station,51.55391,-0.4494,tube_station
Hillingdon Station,51.55365,-0.44976,tube_station
Hillingdon Station,51.55372,-0.44937,tube_station
Hanger Lane Station,51.53013,-0.29275,tube_station
Hanger Lane Station,51.52988,-0.29231,tube_station
Hanger Lane Station,51.52956,-0.29303,tube_station
Hanger Lane Station,51.52943,-0.29224,tube_station
Highgate Station,51.57781,-0.14553,tube_station
Highgate Station,51.57767,-0.14701,tube_station
Highgate Station,51.57759,-0.14598,tube_station
Hatton Cross Station,51.46653,-0.42297,tube_station
Hatton Cross Station,51.46695,-0.42293,tube_station
Hyde Park Corner,51.50493,-0.15203,tube_station
Hyde Park Corner Station,51.50308,-0.15142,tube_station
Hyde Park Corner,51.50307,-0.15277,tube_station
Hyde Park Corner Station,51.50274,-0.15309,tube_station
Hyde Park Corner,51.50298,-0.15169,tube_station
Hyde Park Corner Station,51.50272,-0.1526,tube_station
Hyde Park Corner,51.50307,-0.15325,tube_station
Holland Park Station,51.50742,-0.20564,tube_station
Holland Park,51.50728,-0.20562,tube_station
Heathrow Terminals 2 & 3 Underground Station,51.47235,-0.45198,tube_station
Heathrow Terminals 2 & 3 Underground Station,51.47145,-0.45471,tube_station
Heathrow Terminals 2 & 3 Underground Station,51.47108,-0.45476,tube_station
Heathrow Terminals 2 & 3 Underground Station,51.46944,-0.451,tube_station
Heathrow Terminals 2 & 3 Underground Station,51.46944,-0.451,tube_station
Heathrow Terminals 2 & 3 Underground Station,51.47115,-0.45225,tube_station
Hammersmith Stn / H&c and Circle Lines,51.49339,-0.22503,tube_station
Hammersmith Stn / H&c and Circle Lines,51.49331,-0.2243,tube_station
Hammersmith (District and Piccadilly) Station,51.4926,-0.22424,tube_station
Hammersmith (District and Piccadilly) Station,51.49192,-0.22362,tube_station
High Street Kensington Station,51.50103,-0.19292,tube_station
Hampstead Station,51.55663,-0.17836,tube_station
Hampstead Station,51.5568,-0.17835,tube_station
Hounslow Central Station,51.4712,-0.36701,tube_station
Hounslow East Station,51.47331,-0.3568,tube_station
Hounslow West Station,51.47305,-0.38564,tube_station
Holloway Road Station,51.5529,-0.11274,tube_station
Ickenham Station,51.56202,-0.4419,tube_station
Kilburn Station,51.54693,-0.20409,tube_station
Kingsbury Station,51.58498,-0.2787,tube_station
Knightsbridge Station  / Harrods,51.50196,-0.16034,tube_station
Knightsbridge Station,51.50176,-0.16003,tube_station
Knightsbridge Station  / Harrods,51.50169,-0.16088,tube_station
Knightsbridge Station,51.49991,-0.16261,tube_station
Knightsbridge Station  / Harrods,51.50111,-0.16126,tube_station
Kennington Station,51.48834,-0.1058,tube_station
Kennington Station,51.48816,-0.10541,tube_station
Kilburn Park Station,51.53505,-0.19358,tube_station
King's Cross Station,51.5302,-0.12385,tube_station
King's Cross Station,51.53024,-0.12354,tube_station
King's Cross Station,51.53015,-0.12343,tube_station
King's Cross Station,51.53006,-0.12364,tube_station
King's Cross Station,51.53008,-0.1241,tube_station
King's Cross Station,51.53071,-0.1244,tube_station
King's Cross Station,51.53092,-0.12427,tube_station
King's Cross Station,51.53049,-0.12376,tube_station
King's Cross Station,51.5302,-0.1245,tube_station
King's Cross Station,51.53213,-0.12615,tube_station
King's Cross Station,51.53212,-0.12474,tube_station
King's Cross Station,51.53012,-0.12486,tube_station
King's Cross Station,51.53315,-0.12485,tube_station
Ladbroke Grove Station,51.51742,-0.21007,tube_station
Lambeth North Station,51.49885,-0.11221,tube_station
Lancaster Gate Station,51.51168,-0.17542,tube_station
Latimer Road Station,51.5137,-0.21763,tube_station
Leicester Square Station,51.51128,-0.12823,tube_station
Leicester Square Station,51.5115,-0.12844,tube_station
Leicester Square Station,51.51161,-0.12793,tube_station
Leicester Square Station,51.51173,-0.12822,tube_station
Primrose Street,51.51714,-0.08276,tube_station
Liverpool Street Station,51.5178,-0.08156,tube_station
Leyton Station,51.55649,-0.00582,tube_station
Leytonstone Station,51.56836,0.00719,tube_station
Leytonstone Station,51.56805,0.00831,tube_station
Marble Arch Station,51.51352,-0.16078,tube_station
Marble Arch Station,51.512,-0.1575,tube_station
Marble Arch Station,51.51302,-0.15828,tube_station
Marble Arch Station,51.51134,-0.15819,tube_station
Marble Arch Station,51.51236,-0.15866,tube_station
Marble Arch Station,51.51328,-0.15818,tube_station
Marble Arch Station,51.51259,-0.15834,tube_station
Marble Arch Station,51.51201,-0.16008,tube_station
Marble Arch Station,51.5135,-0.15845,tube_station
Marble Arch Station,51.51171,-0.15735,tube_station
Marble Arch Station,51.51186,-0.15843,tube_station
Marble Arch Station,51.51189,-0.15802,tube_station
Marble Arch Station,51.51299,-0.16279,tube_station
Morden Station,51.40203,-0.19469,tube_station
Morden Station,51.40221,-0.19436,tube_station
Mile End Station,51.52525,-0.0334,tube_station
Mill Hill East Station,51.60827,-0.20977,tube_station
Monument Station,51.51051,-0.08596,tube_station
Monument Station,51.51072,-0.08647,tube_station
Monument Station,51.51091,-0.08649,tube_station
Monument Station,51.51077,-0.0867,tube_station
Monument Station,51.51165,-0.08715,tube_station
Manor House Station,51.57108,-0.09631,tube_station
Manor House Station,51.57106,-0.09603,tube_station
Manor House Station,51.57047,-0.09591,tube_station
Manor House Station,51.57063,-0.0957,tube_station
Manor House Station,51.57094,-0.09566,tube_station
Manor House Station,51.57082,-0.09561,tube_station
Manor House Station,51.57046,-0.09614,tube_station
Mansion House Station,51.51216,-0.09389,tube_station
Mansion House Station,51.51233,-0.0942,tube_station
Mansion House Station,51.5123,-0.09335,tube_station
Mansion House Station,51.51235,-0.0942,tube_station
Mansion House Station,51.51251,-0.09391,tube_station
Mornington Crescent Station,51.53413,-0.13913,tube_station
Maida Vale Station,51.52981,-0.18587,tube_station
Maida Vale Station,51.52995,-0.18582,tube_station
North Acton Station,51.52346,-0.25976,tube_station
Newbury Park Station,51.57556,0.09065,tube_station
Neasden Station,51.55402,-0.24976,tube_station
North Ealing Station,51.51755,-0.28915,tube_station
Northfields Station,51.49927,-0.31455,tube_station
North Greenwich,51.50026,0.00462,tube_station
North Greenwich,51.50007,0.00313,tube_station
North Greenwich,51.50029,0.00399,tube_station
North Harrow Station,51.58492,-0.36202,tube_station
North Harrow Station,51.58476,-0.3622,tube_station
